gene_id	X9B	X14B	X18B	X19B	X10B	X11B	X15B	X16B	X17B
ENSDARG00000000001	319	236	316	294	373	220	246	506	377
ENSDARG00000000002	170	1201	5778	1405	1051	170	144	8338	989
ENSDARG00000000018	868	888	761	575	862	963	941	809	852
ENSDARG00000000019	3460	2917	5459	3898	4006	2636	3544	2180	3283
ENSDARG00000000068	1156	738	1666	1505	689	272	641	952	856
ENSDARG00000000069	4593	9018	3695	3754	4649	3009	6201	4451	4396
ENSDARG00000000086	1343	1083	2494	1738	1312	1015	1250	747	1152
ENSDARG00000000103	6380	4845	8737	8335	4955	3164	10893	8199	8839
ENSDARG00000000142	56	63	94	80	76	55	67	18	44
ENSDARG00000000151	611	234	490	132	508	593	485	622	623
ENSDARG00000000161	229	132	294	147	78	54	156	425	217
ENSDARG00000000175	2	3	8	4	9	31	7	5	7
ENSDARG00000000183	69	101	129	109	105	353	575	79	180
ENSDARG00000000189	5207	5678	8719	3894	5926	2927	2923	4578	4186
ENSDARG00000000212	2670	17106	233	1518	8273	204699	4	198	66
ENSDARG00000000229	452	767	663	694	223	478	905	516	490
ENSDARG00000000241	2035	7334	3381	2726	2786	699	1922	1613	1610
ENSDARG00000000324	705	388	998	824	873	528	790	632	866
ENSDARG00000000370	455	734	666	585	694	379	674	343	499
ENSDARG00000000380	7	36	4	17	16	21	17	7	8
ENSDARG00000000394	2408	2585	3184	2905	2452	2471	3425	3447	3205
ENSDARG00000000423	515	350	356	445	401	421	640	638	597
ENSDARG00000000442	1314	1171	1851	2813	1440	693	1977	2134	2012
ENSDARG00000000476	235	247	247	139	284	194	335	457	357
ENSDARG00000000489	2680	2565	2554	2971	3144	2754	4116	3827	3781
ENSDARG00000000503	23	13	227	17	49	74	6	11	18
ENSDARG00000000516	14	23	8	9	2	28	17	11	8
ENSDARG00000000529	726	559	546	541	842	586	623	1057	836
ENSDARG00000000540	1142	1343	1368	1328	992	925	1237	1734	1310
ENSDARG00000000542	980	626	1032	764	774	578	978	1347	1139
ENSDARG00000000551	55	219	317	224	82	107	800	61	161
ENSDARG00000000563	5476	153	577	7	5275	70793	268	808	1241
ENSDARG00000000567	513	372	341	310	422	548	460	422	446
ENSDARG00000000568	1086	1653	1656	1358	1482	2054	1860	1624	1599
ENSDARG00000000588	317	451	144	301	325	479	157	287	204
ENSDARG00000000606	67	127	124	5	59	50	114	36	57
ENSDARG00000000631	2437	3753	6094	4315	2097	1609	4116	4806	3705
ENSDARG00000000651	111	87	63	101	85	62	91	240	128
ENSDARG00000000656	313	487	112	451	400	957	171	236	200
ENSDARG00000000666	3134	3298	5883	4043	3040	2367	3645	4992	4106
ENSDARG00000000690	4276	5664	4417	5552	4171	1644	6134	4211	4649
ENSDARG00000000729	837	1505	670	728	645	760	1352	1422	1006
ENSDARG00000000730	188	213	114	291	125	338	21	113	57
ENSDARG00000000747	103	130	105	86	50	214	90	116	82
ENSDARG00000000760	177	132	151	145	252	178	162	324	243
ENSDARG00000000767	727	1921	669	1681	1261	1225	843	936	802
ENSDARG00000000779	1782	1537	2324	1818	1782	1414	1964	1781	1948
ENSDARG00000000796	849	475	123	355	419	10081	108	251	191
ENSDARG00000000804	124	200	38	84	134	499	1	20	10
ENSDARG00000000830	330	216	347	299	221	220	397	358	362
ENSDARG00000000837	385	324	206	248	383	618	193	228	236
ENSDARG00000000853	6425	8620	7843	5568	6263	4374	10861	7279	7863
ENSDARG00000000857	675	1390	400	825	683	1532	841	706	623
ENSDARG00000000861	11439	4996	12146	7371	7482	5993	8432	6918	8952
ENSDARG00000000906	532	715	704	1117	566	390	278	536	411
ENSDARG00000000935	445	189	425	277	386	404	414	394	468
ENSDARG00000000943	95	83	61	46	169	295	10	44	33
ENSDARG00000000966	3247	3178	2143	2889	3147	3418	2740	2600	2692
ENSDARG00000001014	5102	5262	5695	6885	5614	5064	5280	2181	3892
ENSDARG00000001015	2146	1768	2863	2722	2689	1995	2629	2612	2818
ENSDARG00000001057	1927	2974	1623	1852	1431	1791	2472	3180	2152
ENSDARG00000001129	821	1329	1765	1751	1179	1041	2648	1295	1639
ENSDARG00000001162	2044	2059	2578	2077	2389	2542	2351	2719	2535
ENSDARG00000001169	80	63	46	51	113	181	97	130	112
ENSDARG00000001210	329	346	249	339	400	272	476	433	428
ENSDARG00000001220	4587	3577	5139	4139	5293	4036	3284	5685	4782
ENSDARG00000001234	371	315	266	466	488	1191	173	208	239
ENSDARG00000001241	3650	3409	3607	3038	3242	3610	5732	5253	4884
ENSDARG00000001244	27598	19617	18519	13980	24920	29127	22227	32074	26795
ENSDARG00000001249	123	87	133	125	127	112	153	191	171
ENSDARG00000001259	229	80	28	82	274	230	117	159	165
ENSDARG00000001303	763	1455	479	1802	970	1281	1019	559	692
ENSDARG00000001313	8	116	30	86	50	21	169	6	27
ENSDARG00000001354	30	8	17	32	41	101	18	26	31
ENSDARG00000001414	26	85	16	69	69	120	2	7	6
ENSDARG00000001431	6422	166	782	44	5236	42564	123	524	824
ENSDARG00000001437	13	16	33	25	16	4	2	6	6
ENSDARG00000001442	341	254	435	163	794	528	1370	747	1028
ENSDARG00000001447	711	551	620	514	671	634	755	787	771
ENSDARG00000001452	8417	5962	2176	5757	8583	3289	4198	2210	3759
ENSDARG00000001463	22	20	29	101	52	51	10	23	22
ENSDARG00000001470	1040	1350	1505	1238	1013	684	1237	1444	1228
ENSDARG00000001498	64	25	22	40	53	221	25	10	23
ENSDARG00000001549	142	118	137	112	105	99	146	191	154
ENSDARG00000001557	519	850	747	912	659	578	716	901	721
ENSDARG00000001558	179	569	237	296	180	72	473	497	315
ENSDARG00000001559	260	29	24	70	271	80	29	47	75
ENSDARG00000001578	1398	1255	1143	1211	1628	1715	1512	1311	1463
ENSDARG00000001621	159	93	151	137	258	148	216	126	204
ENSDARG00000001634	6516	4889	4861	7307	5419	5312	6706	5261	6028
ENSDARG00000001656	679	798	172	929	556	1138	228	602	351
