NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	184	-0.44743222	-2.2744222	0.0	0.0	0.0	3832	tags=53%, list=30%, signal=75%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	183	-0.4445867	-2.2650342	0.0	0.0	0.0	4265	tags=55%, list=34%, signal=82%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	186	-0.36754936	-1.8567042	0.0	0.0010807369	0.007	3234	tags=37%, list=26%, signal=48%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	140	-0.32378754	-1.5577652	0.0038461538	0.025131226	0.196	4367	tags=48%, list=35%, signal=72%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	167	-0.28688303	-1.4161767	0.012987013	0.07217242	0.543	2791	tags=35%, list=22%, signal=45%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	139	-0.2820525	-1.3644903	0.025044722	0.0917383	0.695	3873	tags=45%, list=31%, signal=65%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	106	-0.21419162	-0.9873879	0.47777778	0.8864751	1.0	2264	tags=21%, list=18%, signal=25%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	57	-0.23688082	-0.98031026	0.50096714	0.79988456	1.0	4795	tags=44%, list=38%, signal=70%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	182	-0.18398936	-0.9252512	0.66848814	0.8996734	1.0	3114	tags=29%, list=25%, signal=37%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	87	-0.20284255	-0.89286834	0.6685824	0.90781283	1.0	3278	tags=33%, list=26%, signal=45%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	18	-0.28030214	-0.87376106	0.6439394	0.87698203	1.0	2457	tags=28%, list=19%, signal=34%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	186	-0.14203598	-0.7138729	0.9893993	1.0	1.0	3063	tags=20%, list=24%, signal=27%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	63	-0.1492493	-0.62211126	0.9866667	0.99113166	1.0	3565	tags=35%, list=28%, signal=48%	
